E3,SUB,source,key,SUB_random,E3_random
Q9Y297,P24864,18851830,Q9Y297_P24864,O75530,P04818
Q9Y297,O15111,19109186,Q9Y297_O15111,P68400,P16410
Q9Y297,P55036,19240029,Q9Y297_P55036,O00512,P25398
Q9Y297,Q8IYD8,19270156,Q9Y297_Q8IYD8,Q99683,Q15195
Q9Y297,P08047,19372209,Q9Y297_P08047,Q9H1J7,Q09472
Q9Y297,Q6PGQ7,19390576,Q9Y297_Q6PGQ7,P01116,P09455
Q9Y297,Q9NX09,19557001,Q9Y297_Q9NX09,Q9UNE7,P62745
Q9Y297,Q00987,20009572,Q9Y297_Q00987,P46940,Q86WH2
Q9Y297,O43524,20625400,Q9Y297_O43524,P16220,Q13131
Q9Y297,P01106,20852628,Q9Y297_P01106,P63104,O00311
Q9Y297,Q16635,20858893,Q9Y297_Q16635,P12644,P08236
Q9Y297,Q9GZV5,20858893,Q9Y297_Q9GZV5,O43474,O75531
Q9Y297,Q8NF37,21068446,Q9Y297_Q8NF37,O15294,P39877
Q9Y297,P30305,21807946,Q9Y297_P30305,Q13363,Q8NA77
Q9Y297,Q16656,21911472,Q9Y297_Q16656,P31946,Q00059
Q9Y297,O00444,22199232,Q9Y297_O00444,Q16763,O43586
Q9Y297,O95863,22199232,Q9Y297_O95863,Q9UKT8,P05787
Q9Y297,Q76N32,22199232,Q9Y297_Q76N32,P12956,Q9NS56
Q9Y297,O00418,22669845,Q9Y297_O00418,P31751,P60842
Q9Y297,P35968,22711876,Q9Y297_P35968,Q9HCP0,Q8NFY4
Q9Y297,Q86T82,23027877,Q9Y297_Q86T82,O43847,P78316
Q9Y297,Q96T88,23297342,Q9Y297_Q96T88,Q9Y679,Q02952
Q9Y297,P10912,23607312,Q9Y297_P10912,Q14999,O15524
Q9Y297,Q9UM11,23972993,Q9Y297_Q9UM11,P56177,P10145
Q9Y297,Q92519,24211582,Q9Y297_Q92519,Q86Y37,Q9NP71
Q9Y297,P49841,24451375,Q9Y297_P49841,Q9NVF7,Q16537
Q9Y297,Q01664,24500709,Q9Y297_Q01664,P22681,Q9NZI7
Q9Y297,P35226,24658274,Q9Y297_P35226,O60716,P02533
Q9Y297,A0A1B0GVQ0,24658274,Q9Y297_A0A1B0GVQ0,P62277,Q92565
Q9Y297,Q14247,24658274,Q9Y297_Q14247,O75084,Q9NQX4
Q9Y297,P51617,24658274,Q9Y297_P51617,Q49AN0,P41218
